usecase,description,default_syntax,category_rule,subcategory_rule,correlation_rule
Posible evento con Herramientas Exploit,"Detect usage of commonly used exploit tools(eg. Keyloggers, psexec)","Apply UBA : Common Exploit Tools Detected on events which are detected by the Local system
and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when an event matches all of the following BB:UBA : Common Event Filters
and when an event matches any of the following rules",Ataque Avanzado / Persistente,User Behavior Analytics,UBA : Common Exploit Tools Detected
Posible evento con Herramientas Exploit,Reports an attack from a local host where the source host is vulnerable to the attack being used. It is possible the source host was the destination of an earlier offense.,,,Intrusion Detection,Source Vulnerable to this Exploit
Posible evento con Herramientas Exploit,Reports an attack from a local host where the source has at least one vulnerability.  It is possible the source was targeted in an earlier offense.,,,Intrusion Detection,Source Vulnerable to any Exploit
Posible evento con Herramientas Exploit,Reports a destination host attempting to be exploited using multiple types of attacks from one or more source hosts.,"Apply Multiple Exploit Types Against Single Destination on events which are detected by the Local system
and NOT when an event matches any of the following Destination Vulnerable to Detected Exploit on a Different Port
and when any of these BB:CategoryDefinition: Exploits Backdoors and Trojans with the same destination IP more than 10 times, across more than 6 QID within 5 minutes
and NOT when any of Source IP are contained in any of Multiple Exploit/Malware Types Targeting a Single Destination containing Misc Exploit - AlphaNumeric",Hacktivismo,Exploit,Multiple Exploit Types Against Single Destination
Posible evento con Herramientas Exploit,"This rule detects when exploit or attack events are followed by firewall accept events, which may indicate a successful attack.",,,Intrusion Detection,Exploit: Exploits Followed by Firewall Accepts
Posible evento con Herramientas Exploit,"Reports an attack against a vulnerable local destination host, where the host is known to exist, and the host is vulnerable to the attack on a different port.","Apply Destination Vulnerable to Detected Exploit on a Different Port on events which are detected by the Local system
and when the event category for the event is one of the following Exploit, Potential Exploit
and when the event context is Local to Local, Remote to Local
and when the destination is vulnerable to current exploit on any port
and NOT when an event matches any of the following Destination Vulnerable to Detected Exploit",Hacktivismo,Exploit,Exploit: Destination Vulnerable to Detected Exploit on a Different Port
Posible evento con Herramientas Exploit,Reports an exploit or attack type activity from a source IP followed by suspicious account activity on the same destination host within 15 minutes of the original event. ,,,Intrusion Detection,Exploit Followed by Suspicious Host Activity
Posible evento con Herramientas Exploit,"Rule detects an attack against a vulnerable local destination, where the host is known to exist, and the host is vulnerable to the attack.","Apply Destination Vulnerable to Detected Exploit on events which are detected by the Local system
and when the event category for the event is one of the following Exploit, Potential Exploit
and when the event context is Local to Local, Remote to Local
and when the destination is vulnerable to current exploit on current port",Hacktivismo,Exploit,Destination Vulnerable to Detected Exploit
Posible evento con Herramientas Exploit,Reports an exploit or attack type activity from the same source IP followed by suspicious account activity from the same destination IP as the original event within 15 minutes.,"Apply Chained Exploit Followed by Suspicious Events on events which are detected by the Local system
and when a subset of at least 1 of these BB:CategoryDefinition: Exploits Backdoors and Trojans, in order, with the same source IP followed by a subset of at least 1 of these BB:CategoryDefinition: Post Exploit Account Activity in order from the same destination IP from the previous sequence, within 15 minutes",Hacktivismo,Intrusion Detection,Chained Exploit Followed by Suspicious Events
Posible evento con Herramientas Exploit,"Reports exploit attacks on events. By default, this rule is disabled. Enable this rule if you want all events categorized as exploits to create an offense.","Apply All Exploits Become Offenses on events which are detected by the Local system
and when the event category for the event is one of the following Exploit",Hacktivismo,Intrusion Detection,All Exploits Become Offenses
Posible evento con Herramientas Exploit,Rule forces offense creation for exploit based event with high magnitude.,"Apply Exploits Events with High Magnitude Become Offenses on events which are detected by the Local system
and when the event category for the event is one of the following Exploit, Potential Exploit
and when an event matches any of the following BB:CategoryDefinition: High Magnitude Events",Hacktivismo,Intrusion Detection, Exploits Events with High Magnitude Become Offenses
Herramientas de Exploit / Reconocimiento y / o Vulnerabilidades,Detects when a vulnerability has been discovered on a local host.,"Apply Vulnerabilities: Vulnerability Reported by Scanner on events which are detected by the Local system
and when the event category for the event is one of the following VIS Host Discovery.New Vuln Discovered",Hacktivismo,Exploit,Vulnerabilities: Vulnerability Reported by Scanner
Herramientas de Exploit / Reconocimiento y / o Vulnerabilidades,"Reports an attack against a vulnerable local destination host, where the host is known to exist, and the host is vulnerable to some attack but not the one being attempted.","Apply Destination Vulnerable to Different Exploit than Attempted on Targeted Port on events which are detected by the Local system
and when the event category for the event is one of the following Exploit, Potential Exploit
and when the event context is Local to Local, Remote to Local
and when the destination is vulnerable to any exploit on current port
and NOT when an event matches any of the following Destination Vulnerable to Detected Exploit",Hacktivismo,Intrusion Detection,Destination Vulnerable to Different Exploit than Attempted on Targeted Port
Movimiento Lateral,Detects that a user attempted to access a suspended or a disabled account.,,,User Behavior Analytics,UBA : User Attempt to Use a Suspended Account
Movimiento Lateral,Indicates that a user attempted to log in to a disabled or an expired account on a local system. This rule might also suggest that an account was compromised.,,,User Behavior Analytics,UBA : Orphaned or Revoked or Suspended Account Used
Movimiento Lateral,"Notes
Detect a non-admin account attempts to log into domain controller.","Apply UBA : Non-Admin Access to Domain Controller on events which are detected by the Local system
and when the event context is Local to Local, Remote to Local
and when an event matches all of the following BB:UBA : Common Event Filters
and when an event matches any of the following BB:CategoryDefinition: Authentication Success, BB:CategoryDefinition: Authentication Failures
and when any of Destination IP are contained in any of UBA : Domain Controllers - IP
and NOT when any of Username are contained in any of UBA : Domain Controller Administrators - AlphaNumeric (Ignore Case)",,User Behavior Analytics,UBA : Non-Admin Access to Domain Controller
Movimiento Lateral,Indicates that a user attempted to log in to an expired account on a local system. This rule might also suggest that an account was compromised.,"Apply UBA : Expired Account Used on events which are detected by the Local system
and when the event context is Local to Local, Remote to Local
and when an event matches all of the following BB:UBA : Common Event Filters
and when an event matches any of the following BB:CategoryDefinition: Authentication to Expired Account",,User Behavior Analytics,UBA : Expired Account Used
Movimiento Lateral,Alerts when the same Actor has OAuth Permissions granted and deleted within a certain time period.,"Apply Office 365: Added and Removed an OAuth2PermissionGrant in the directory within a certain time period on events which are detected by the Local system
and when BB: Office 365: Removed an OAuth2PermissionsGrant in a directory match at least 1 times with the same OAuth Actor (custom) in 60 minutes after BB: Office 365: Added an OAuth2PermissionGrant in the directory match",,Office 365,Office 365: Added and Removed an OAuth2PermissionGrant in the directory within a certain time period
Movimiento Lateral,"Reports a host login failure message from an expired user account known. If the user is no longer a member of the organization, we recommend that you investigate any other received authentication messages.","Apply Login Failure to Expired Account on events which are detected by the Local system
and when an event matches any of the following BB:CategoryDefinition: Authentication to Expired Account",Hacktivismo,Authentication / Horizontal Movement,Login Failure to Expired Account
Movimiento Lateral,"Reports a host login message from a disabled user account. If the user is no longer a member of the organization, we recommend that you investigate any other received authentication messages from the same user.","Apply Login Failure to Disabled Account on events which are detected by the Local system
and when an event matches any of the following BB:CategoryDefinition: Authentication to Disabled Account",Integridad de Datos,Authentication / Horizontal Movement,Login Failure to Disabled Account
Possible Network DoS Activity ,"Detects DoS attack by checking the number of account deletion events against a fixed threshold within fixed time span (default value 20 events within 1 minute). Prior to enabling this rule, Admins have to configure this value based on the size of their organization, the average number of people leaving the organization, etc.","Apply UBA : DoS Attack by Account Deletion on events which are detected by the Local system
and when an event matches any of the following BB:UBA : Common Event Filters
and when BB:UBA : User Account Deleted match at least 20 times in 1 minutes",,User Behavior Analytics,UBA : DoS Attack by Account Deletion
Possible Network DoS Activity ,"Detects network Denial of Service (DoS) attacks by a user.

Before you enable the rule:
1. On the Admin tab, click UBA Settings, and then select the ""Search assets for username, when username is not available for event or flow data"" checkbox to search for user names in the asset table. The UBA app uses assets to look up a user for an IP address when no 2. Set up the ""Snort Open Source IDS"" log source.","Apply UBA : D/DoS Attack Detected on events which are detected by the Local system
and when an event matches any of the following BB:UBA : Common Log Source Filters
and when any of these BB:CategoryDefinition: DDoS Attack Events, BB:CategoryDefinition: Network DoS Attack, BB:CategoryDefinition: Service DoS with the same QID more than 3 times, across more than 0 destination IP within 5 minutes",Ataque Avanzado / Persistente,User Behavior Analytics,UBA : D/DoS Attack Detected
Possible Network DoS Activity ,Reports a DoS attack against a local target that is known to exist and the target port is open.,22311,Ataque Avanzado / Persistente,DoS,Service DoS Attack Detected
Possible Network DoS Activity ,Informa de los ataques de denegaci\\303\\263n de servicio (DoS) en un sistema. ,,Disponibilidad del Sistema,DoS,Network DoS Attack Detected CSB
Possible Network DoS Activity ,Informa de los ataques de denegación de servicio (DoS) en un sistema.,"Apply Network DoS Attack Detected on events which are detected by the Local system
and when any of these BB:CategoryDefinition: Network DoS Attack with the same QID more than 3 times, across more than 0 destination IP within 5 minutes",Ataque Avanzado / Persistente,DoS,Network DoS Attack Detected
Possible Network DoS Activity ,Informa de un número excesivo de denegaciones del cortafuegos desde un mismo host. Detecta más de 400 intentos de denegaciones del cortafuegos desde un mismo origen a un mismo destino en un plazo de 5 minutos.,"Apply Excessive Firewall Denies from Single Source on events which are detected by the Local system
and NOT when an event matches any of the following BB:HostDefinition: Servers
and NOT when the event matches Source IP is 172.16.254.0/24, Destination Port is 53
and when any of these BB:CategoryDefinition: Firewall or ACL Denies with the same source IP more than 400 times, across exactly 1 destination IP within 5 minutes",,Anomaly,Excessive Firewall Denies from Single Source
Possible Network DoS Activity ,"Monitors devices for high event rates. The default threshold is set very low for most network devices and should be adjusted before the rule is enabled. To configure which devices will be monitored edit the building block ""BB:DeviceDefinition: Devices to Monitor for High Event Rates""","Apply Devices with High Event Rates on events which are detected by the Local system
and when any of these BB:DeviceDefinition: Devices to Monitor for High Event Rates with the same log source more than 500 times, across more than 0 destination IP within 1 minutes",,Anomaly,Devices with High Event Rates
Possible Network DoS Activity ,,,Disponibilidad del Sistema,DoS,deteccion de ips participes de ataques de Spam y DDOS
Possible Network DoS Activity ,Rule forces offense creation for DoS based event with high magnitude.,"Apply DDoS Events with High Magnitude Become Offenses on events which are detected by the Local system
and when the event category for the event is one of the following DOS.Distributed DoS, DOS.Distributed High Rate DoS, DOS.Distributed High Rate ICMP DoS, DOS.Distributed High Rate TCP DoS, DOS.Distributed High Rate UDP DoS, DOS.Distributed Low Rate DoS, DOS.Distributed Low Rate ICMP DoS, DOS.Distributed Low Rate TCP DoS, DOS.Distributed Low Rate UDP DoS, DOS.Distributed Medium Rate DoS, DOS.Distributed Medium Rate ICMP DoS, DOS.Distributed Medium Rate TCP DoS, DOS.Distributed Medium Rate UDP DoS
and when an event matches any of the following BB:CategoryDefinition: High Magnitude Events",Ataque Avanzado / Persistente,DoS,DDoS Events with High Magnitude Become Offenses
Possible Network DoS Activity ,Reports network Denial of Service (DoS) attacks on a system.,"Apply DDoS Attack Detected on events which are detected by the Local system
and when any of these BB:CategoryDefinition: DDoS Attack Events with the same QID more than 3 times, across exactly 1 destination IP within 5 minutes",Hacktivismo,DoS,DDoS Attack Detected
Possible Network DoS Activity ,Rule forces offense creation for DoS based event with high magnitude.,"Apply DoS Events with High Magnitude Become Offenses on events which are detected by the Local system
and when the event category for the event is one of the following DOS.Brute force login, DOS.Database DoS, DOS.DNS Service DoS, DOS.FTP DoS, DOS.High Rate DoS, DOS.High Rate ICMP DoS, DOS.High Rate ICMP Scan, DOS.High Rate Scan, DOS.High Rate TCP DoS, DOS.High Rate TCP Scan, DOS.High Rate UDP DoS, DOS.High Rate UDP Scan, DOS.ICMP DoS, DOS.Infrastructure DoS, DOS.Low Rate DoS, DOS.Low Rate ICMP DoS, DOS.Low Rate ICMP Scan, DOS.Low Rate Scan, DOS.Low Rate TCP DoS, DOS.Low Rate TCP Scan, DOS.Low Rate UDP DoS, DOS.Low Rate UDP Scan, DOS.Mail Service DoS, DOS.Medium Rate DoS, DOS.Medium Rate ICMP DoS, DOS.Medium Rate ICMP Scan, DOS.Medium Rate Scan, DOS.Medium Rate TCP DoS, DOS.Medium Rate TCP Scan, DOS.Medium Rate UDP DoS, DOS.Medium Rate UDP Scan, DOS.Misc DoS, DOS.TCP DoS, DOS.Telnet DoS, DOS.UDP DoS, DOS.Unix DOS, DOS.Unknown DoS Attack, DOS.VoIP DoS, DOS.Web Service DoS, DOS.Windows DoS
and when an event matches any of the following BB:CategoryDefinition: Medium Magnitude Events",Ataque Avanzado / Persistente,DoS, DoS Events with High Magnitude Become Offenses
Prevención Phishing & Protección Anti-spam ,"This rule updates the User Behavior Analytics app when the originating rule is triggered. For details, see ""QNI : Potential Spam/Phishing Attempt Detected on Rejected Email Recipient"".","Apply UBA : QNI - Potential Spam/Phishing Attempt Detected on Rejected Email Recipient on events or flows which are detected by the Local system
and when a flow or an event matches any of the following rules",Cumplimiento,User Behavior Analytics,UBA : QNI - Potential Spam/Phishing Attempt Detected on Rejected Email Recipient
Prevención Phishing & Protección Anti-spam ,"
This rule notifies when mail is received from a server associated with phishing campaigns. May indicate that insiders are being targeted for attack. See https://ibm.biz/rfisi_threat_intel","Apply RFISI: Phishing Email sent to Internal Mail Server on events or flows which are detected by the Local system
and when the context is Remote to Local
and when a flow or an event matches any of the following BB:HostDefinition: Mail Servers, BB:HostReference: Mail Servers
and when any of Source IP are contained in any of Phishing Senders - IP",Cumplimiento,Threats,RFISI: Phishing Email sent to Internal Mail Server
Prevención Phishing & Protección Anti-spam ,This rule will notify when an internal mail server communicates with an IP that is known to send SPAM. Typically no legitimate mail server will be considered a SPAM server so this may indicate illicit activity or an internal infection. See https://ibm.biz/rfisi_threat_intel,"Apply RFISI: Mail Server Sending Mail to SPAM Servers on events or flows which are detected by the Local system
and when the context is Local to Remote
and when a flow or an event matches any of the following BB:HostDefinition: Mail Servers, BB:HostReference: Mail Servers
and when any of Destination IP are contained in any of Spam Senders - IP",Malware,Threats,RFISI: Mail Server Sending Mail to SPAM Servers
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network to Windows servers.,,,User Behavior Analytics,UBA : Unusual Scanning of Windows Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual activity in network to web servers.,,,User Behavior Analytics,UBA : Unusual Scanning of Web Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual activity in network to SSH servers.,,,User Behavior Analytics,UBA : Unusual Scanning of SSH Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network to SNMP servers.,,,User Behavior Analytics,UBA : Unusual Scanning of SNMP Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network to RPC servers.,,,User Behavior Analytics,UBA : Unusual Scanning of RPC Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network to proxy servers.,,,User Behavior Analytics,UBA : Unusual Scanning of Proxy Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network to P2P servers.,,,User Behavior Analytics,UBA : Unusual Scanning of P2P Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network to messaging servers.,,,User Behavior Analytics,UBA : Unusual Scanning of Messaging Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network to mail servers.,,,User Behavior Analytics,UBA : Unusual Scanning of Mail Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network to LDAP servers.,,,User Behavior Analytics,UBA : Unusual Scanning of LDAP Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network to IRC servers.,,,User Behavior Analytics,UBA : Unusual Scanning of IRC Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network on servers using common UDP ports.,,,User Behavior Analytics,UBA : Unusual Scanning of Generic UDP Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network on servers using common TCP ports.,,,User Behavior Analytics,UBA : Unusual Scanning of Generic TCP Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network on servers using ICMP protocol.,,,User Behavior Analytics,UBA : Unusual Scanning of Generic ICMP Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network to game servers.,,,User Behavior Analytics,UBA : Unusual Scanning of Game Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network to FTP server.,,,User Behavior Analytics,UBA : Unusual Scanning of FTP Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network to DNS servers.,,,User Behavior Analytics,UBA : Unusual Scanning of DNS Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects unusual scanning in network to DHCP servers.,,,User Behavior Analytics,UBA : Unusual Scanning of DHCP Servers Detected
Escaneo a Bases de Datos,Detects unusual scanning in network to database servers.,,,User Behavior Analytics,UBA : Unusual Scanning of Database Servers Detected
Reconocimiento y/o Vulnerabilidades,Detects attempts at SMB enumeration against a domain controller.,"Apply UBA : Possible SMB Session Enumeration on a Domain Controller on events which are detected by the Local system
and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when an event matches any of the following BB:UBA : Common Event Filters
and when the event QID is one of the following (5001108) Success Audit: A network share object was accessed
and when the event matches ShareName (custom) contains any of [IPC or ADMIN]
and NOT when any of Username are contained in any of UBA : Domain Controller Administrators - AlphaNumeric (Ignore Case)
and NOT when any of Source IP are contained in any of UBA : Domain Controllers - IP
and when any of Destination IP are contained in any of UBA : Domain Controllers - IP",,User Behavior Analytics,UBA : Possible SMB Session Enumeration on a Domain Controller
Reconocimiento y/o Vulnerabilidades,Detects Recon Attempts to Directory Service Enumeration.,"Apply UBA : Possible Directory Services Enumeration on events which are detected by the Local system
and when the event(s) were detected by one or more of Microsoft Windows Security Event Log
and when an event matches any of the following BB:UBA : Common Event Filters
and when the event QID is one of the following (5000848) Success Audit: A handle to an object was requested
and when the event matches ObjectType (custom) is any of [SAM_ALIAS or SAM_GROUP or SAM_USER or SAM_DOMAIN or SAM_SERVER]
and NOT when any of Username are contained in any of UBA : Domain Controller Administrators - AlphaNumeric (Ignore Case)
and when at least 2 events are seen with the same Username in 1 minutes",,User Behavior Analytics,UBA : Possible Directory Services Enumeration
Reconocimiento y/o Vulnerabilidades,Reports a remote host attempting reconnaissance or suspicious connections on common SSH ports to more than 30 hosts in 10 minutes.,"Apply Remote SSH Server Scanner on events or flows which are detected by the Local system
and when the context is Remote to Local, Remote to Remote
and when a flow or an event matches any of the following BB:PortDefinition: SSH Ports
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 29 destination IP within 10 minutes",Malware,Recon,Remote SSH Server Scanner
Reconocimiento y/o Vulnerabilidades,"Reports a scan from a remote host against other hosts or remote targets. At least 60 hosts were scanned within 10 minutes. This activity was using a protocol other than TCP, UDP, or ICMP.","Apply Remote Scanner Detected on events or flows which are detected by the Local system
and when the IP protocol is one of the following other, Uncommon
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 59 destination IP within 10 minutes
and when the context is Remote to Local, Remote to Remote",Malware,Recon,Remote Scanner Detected
Reconocimiento y/o Vulnerabilidades,Reports a remote host attempting reconnaissance or suspicious connections on common RPC server ports to more than 30 hosts in 10 minutes.,"Apply Remote RPC Server Scanner on events or flows which are detected by the Local system
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 29 destination IP within 10 minutes
and when the context is Remote to Local, Remote to Remote
and when a flow or an event matches any of the following BB:PortDefinition: RPC Ports",Integridad de Datos,Recon,Remote RPC Server Scanner
Reconocimiento y/o Vulnerabilidades,Reports a remote host attempting reconnaissance or suspicious connections on common proxy server ports to more than 30 hosts in 10 minutes.,"Apply Remote Proxy Server Scanner on events or flows which are detected by the Local system
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 29 destination IP within 10 minutes
and when the context is Remote to Local, Remote to Remote
and when a flow or an event matches any of the following BB:PortDefinition: Proxy Ports",Malware,Recon,Remote Proxy Server Scanner
Reconocimiento y/o Vulnerabilidades,Reports a scan from a remote host against other local or remote targets. At least 30 hosts were scanned in 10 minutes.,"Apply Remote LDAP Server Scanner on events or flows which are detected by the Local system
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 29 destination IP within 10 minutes
and when the context is Remote to Local, Remote to Remote
and when a flow or an event matches any of the following BB:PortDefinition: LDAP Ports",Malware,Recon,Remote LDAP Server Scanner
Reconocimiento y/o Vulnerabilidades,Reports a remote host attempting reconnaissance or suspicious connections on common FTP ports to more than 30 hosts in 10 minutes.,"Apply Remote FTP Scanner on events or flows which are detected by the Local system
and when the context is Remote to Local, Remote to Remote
and when a flow or an event matches any of the following BB:PortDefinition: FTP Ports
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 29 destination IP within 10 minutes",Malware,Recon,Remote FTP Scanner
Escaneo a Bases de Datos,Reports a scan from a remote host against other local or remote targets. At least 30 hosts were scanned in 10 minutes.,"Apply Remote Database Scanner on events or flows which are detected by the Local system
and when the context is Remote to Local, Remote to Remote
and when a flow or an event matches any of the following BB:PortDefinition: Database Ports
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 29 destination IP within 10 minutes",Malware,Recon,Remote Database Scanner
Reconocimiento y/o Vulnerabilidades,Adds an additional event into the event stream when a host that has been performing reconnaissance also has a firewall accept following the reconnaissance activity.,"Apply Recon Followed by Accept on events or flows which are detected by the Local system
and when all of these BB:ReconDetected: Basic Recon Rules, BB:CategoryDefinition: Firewall or ACL Accept, in order, from the same source IP to any destination IP, over 5 minutes
and when a flow or an event matches any of the following BB:DeviceDefinition: FW / Router / Switch",Malware,Recon,Recon Followed by Accept on events
Reconocimiento y/o Vulnerabilidades,Adds an additional event into the event stream when a host that has been performing reconnaissance also has a firewall accept following the reconnaissance activity.,"Apply Recon Followed by Accept on events or flows which are detected by the Local system
and when all of these BB:ReconDetected: Basic Recon Rules, BB:CategoryDefinition: Firewall or ACL Accept, in order, from the same source IP to any destination IP, over 5 minutes
and when a flow or an event matches any of the following BB:DeviceDefinition: FW / Router / Switch",Negocio,Intrusion Detection,Recon Followed by Accept 
Reconocimiento y/o Vulnerabilidades,Potential Local port scan detected,"Apply Potential Local Port Scan Detected on events or flows which are detected by the Local system
and NOT when a flow or an event matches any of the following BB:HostDefinition: Servers
and when the context is Local to Local
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 100 destination port within 3 minutes",Malware,Recon,Potential Local Port Scan Detected
Reconocimiento y/o Vulnerabilidades,Se detecta una conexi\\303\\263n a una posible IP de Botnet C&C obtenida de diferentes IOC de Malware y Ransomware. Se deben buscar eventos relacionados.,,Malware,Malware,Potential IP Scanning
Reconocimiento y/o Vulnerabilidades,"Reports an event that was targeting or sourced from a honeypot or tarpit defined address. Before enabling this rule, you must configure the BB:HostDefinition: Honeypot like addresses building block","Apply Potential Honeypot Access on events which are detected by the Local system
and when an event matches any of the following BB:NetworkDefinition: Honeypot like Addresses",Malware,Threats,Potential Honeypot Access
Reconocimiento y/o Vulnerabilidades,Reports a remote host attempting reconnaissance or suspicious connections on common SMB ports to more than 30 hosts in 10 minutes.,,,Recon,Local SMB Server Scanner
Reconocimiento y/o Vulnerabilidades,Reports a source IP address attempting reconnaissance or suspicious connections on common Windows server ports to more than 200 hosts in 20 minutes. This can be false positive prone for busy windows servers.,"Apply Local L2R Windows Server Scanner on events or flows which are detected by the Local system
and when the context is Local to Remote
and when a flow or an event matches any of the following BB:PortDefinition: Windows Ports
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 200 destination IP within 20 minutes",Cumplimiento,Recon,Local L2R Windows Server Scanner
Reconocimiento y/o Vulnerabilidades,Reports a source IP address attempting reconnaissance or suspicious connections on common SSH ports to more than 30 hosts in 10 minutes.,"Apply Local L2R SSH Server Scanner on events or flows which are detected by the Local system
and when the context is Local to Remote
and when a flow or an event matches any of the following BB:PortDefinition: SSH Ports
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 29 destination IP within 10 minutes",Cumplimiento,Recon,Local L2R SSH Server Scanner
Reconocimiento y/o Vulnerabilidades,"Reports a scan from a local host against other remote targets. At least 60 hosts were scanned within 10 minutes. This activity was using a protocol other than TCP, UDP, or ICMP.","Apply Local L2R Scanner Detected on events or flows which are detected by the Local system
and when the context is Local to Remote
and when the IP protocol is one of the following Uncommon, other
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 59 destination IP within 10 minutes",Cumplimiento,Recon,Local L2R Scanner Detected
Reconocimiento y/o Vulnerabilidades,Reports a source IP address attempting reconnaissance or suspicious connections on common RPC server ports to more than 60 hosts in 10 minutes.,"Apply Local L2R RPC Server Scanner on events or flows which are detected by the Local system
and when the context is Local to Remote
and when a flow or an event matches any of the following BB:PortDefinition: RPC Ports
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 59 destination IP within 10 minutes",,Recon,Local L2R RPC Server Scanner
Reconocimiento y/o Vulnerabilidades,"
Reports a source IP address attempting reconnaissance or suspicious connections on common LDAP ports to more than 60 hosts in 10 minutes.","Apply Local L2R LDAP Server Scanner on events or flows which are detected by the Local system
and when the context is Local to Remote
and when a flow or an event matches any of the following BB:PortDefinition: LDAP Ports
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 59 destination IP within 10 minutes",,Recon,Local L2R LDAP Server Scanner
Reconocimiento y/o Vulnerabilidades,Reports a source IP address attempting reconnaissance or suspicious connections on common IRC server ports to more than 10 hosts in 10 minutes.,"Apply Local L2R IRC Server Scanner on events or flows which are detected by the Local system
and when the context is Local to Remote
and when a flow or an event matches any of the following BB:PortDefinition: IRC Ports
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 10 destination IP within 10 minutes
and when the IP protocol is one of the following TCP",,Recon,Local L2R IRC Server Scanner
Reconocimiento y/o Vulnerabilidades,Reports a source IP address attempting reconnaissance or suspicious connections on common FTP ports to more than 30 hosts in 10 minutes.,"Apply Local L2R FTP Scanner on events or flows which are detected by the Local system
and when the context is Local to Remote
and when a flow or an event matches any of the following BB:PortDefinition: FTP Ports
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 29 destination IP within 10 minutes",,Recon,Local L2R FTP Scanner
Reconocimiento y/o Vulnerabilidades,"Reports when various suspicious or reconnaissance events have been detected from the same local source IP address to more than 5 destination IP address in 4 minutes. This can indicate various forms of host probing, such as Nmap reconnaissance, which attempts to identify the services and operation systems of the target.","Apply Local L2L Suspicious Probe Events Detected on events or flows which are detected by the Local system
and NOT when a flow or an event matches any of the following BB:HostDefinition: Servers
and when the context is Local to Local
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 20 times, across more than 5 destination IP within 4 minutes",,Recon,Local L2L Suspicious Probe Events Detected
Reconocimiento y/o Vulnerabilidades,Reports a source IP address attempting reconnaissance or suspicious connections on common SSH ports to more than 30 hosts in 10 minutes.,"Apply Local L2L SSH Server Scanner on events or flows which are detected by the Local system
and when the context is Local to Local
and when a flow or an event matches any of the following BB:PortDefinition: SSH Ports
and when any of these BB:CategoryDefinition: Recon Events, BB:CategoryDefinition: Suspicious Events with the same source IP more than 5 times, across more than 29 destination IP within 10 minutes",,Recon,Local L2L SSH Server Scanner
